track_name,artist_name,frequency,song_ids,release_date,popularity,images,preview,acousticness,danceability,energy,key,instrumentalness,liveness,loudness,mode,speechiness,valence,tempo,time_signature,label
"Audio (feat. Sia, Diplo, and Labrinth)",Sia,39,100eDEmpWV5YGVCqHI0leU,2019-04-12,66,https://i.scdn.co/image/ab67616d0000b2733f159ae07dd556323f39f47b,https://p.scdn.co/mp3-preview/1d4d60dd2bb906fab079b8c78c1f3eb2dbff79e7?cid=8e910b9aa35e4098ac6dab1c9b9c03e0,0.209,0.568,0.701,3,1.06e-06,0.0769,-4.566,0,0.0426,0.353,89.969,4,nina
Audition (The Fools Who Dream),Emma Stone,6,6j0wBBAP3hMe4t1Ymj7GIe,2016-12-09,57,https://i.scdn.co/image/ab67616d0000b2730bdf4dd39843ad48c5b66bc4,https://p.scdn.co/mp3-preview/85c0ca1f5a02d67e5d22e911edcfe9ba4b77b1a0?cid=8e910b9aa35e4098ac6dab1c9b9c03e0,0.756,0.344,0.157,5,0.0,0.351,-11.773,1,0.0457,0.313,57.86,4,nina
Açaí Bowl,Dominic Fike,3,5M3KOe4FGUidvRDUbFFdFk,2019-06-07,60,https://i.scdn.co/image/ab67616d0000b2737cfa916ef30e2f720a9282f3,https://p.scdn.co/mp3-preview/f18e9a9935431b96a2546d1b00090da0e4511ae4?cid=8e910b9aa35e4098ac6dab1c9b9c03e0,0.502,0.687,0.439,2,0.000367,0.109,-8.347,1,0.0426,0.352,91.972,4,nina
Baby Blue,Luke Hemmings,37,4FSIfpGQEdJsLXIbufqvOo,2021-08-13,65,https://i.scdn.co/image/ab67616d0000b2738bc798bbb501b37ec990f4b4,https://p.scdn.co/mp3-preview/e4a41698c7b60dbf698cfc3d791fd12abcae77eb?cid=8e910b9aa35e4098ac6dab1c9b9c03e0,0.188,0.54,0.82,0,0.0,0.0724,-3.848,1,0.0437,0.465,123.991,4,nina
Babydoll,Dominic Fike,23,7yNf9YjeO5JXUE3JEBgnYc,2018-10-16,75,https://i.scdn.co/image/ab67616d0000b2737b1b6f41c1645af9757d5616,https://p.scdn.co/mp3-preview/cc58393652a42b7aaad09a19e590fcae16c379b2?cid=8e910b9aa35e4098ac6dab1c9b9c03e0,0.114,0.762,0.604,7,0.0,0.0271,-5.296,0,0.11,0.847,168.007,4,nina
"Bachelor (feat. A$AP Rocky, Lil Yachty, MadeinTYO & Offset)",A$AP Mob,6,4Nbi6hJWVqM7Ois9G2KKjC,2016-10-31,49,https://i.scdn.co/image/ab67616d0000b27330eaf29813f551d9188ad35a,https://p.scdn.co/mp3-preview/6a04a5b65b8958f0fe5a0b2cc4f7341a1865e913?cid=8e910b9aa35e4098ac6dab1c9b9c03e0,0.0554,0.785,0.607,1,0.0,0.179,-5.103,1,0.0953,0.168,128.077,4,nina
Bad Habits,Ed Sheeran,16,3rmo8F54jFF8OgYsqTxm5d,2021-10-29,89,https://i.scdn.co/image/ab67616d0000b273ef24c3fdbf856340d55cfeb2,https://p.scdn.co/mp3-preview/043f28a973add316f01a36a68f870f588d1dbb8e?cid=8e910b9aa35e4098ac6dab1c9b9c03e0,0.0451,0.807,0.893,11,2.79e-05,0.366,-3.745,0,0.0347,0.537,126.011,4,nina
Bad Romance,Lady Gaga,5,0SiywuOBRcynK0uKGWdCnn,2009-11-05,83,https://i.scdn.co/image/ab67616d0000b2735c9890c0456a3719eeecd8aa,https://p.scdn.co/mp3-preview/ae4df50a71b232ac74a36f326a605f3351c3e1e9?cid=8e910b9aa35e4098ac6dab1c9b9c03e0,0.00314,0.696,0.921,0,5.24e-05,0.0842,-3.755,1,0.0363,0.714,119.001,4,nina
Bad Texter,Ryan Woods,45,1qf4LTrblgyq5gKli14LqM,2021-04-16,57,https://i.scdn.co/image/ab67616d0000b2730cff80394eeafe57aad56428,https://p.scdn.co/mp3-preview/9f589ce304a80bab0bc8c908372b86555bb96036?cid=8e910b9aa35e4098ac6dab1c9b9c03e0,0.0455,0.611,0.632,11,7.47e-05,0.339,-7.25,1,0.0428,0.619,95.076,4,nina
Bad Together,Dua Lipa,22,0LwbO2KIQw1uR2FCqwaKAu,2017-06-02,48,https://i.scdn.co/image/ab67616d0000b2736b915e407b70e121e06fe979,https://p.scdn.co/mp3-preview/920b2fbd3854d207e4b5fdfa7d0d75194c4ec000?cid=8e910b9aa35e4098ac6dab1c9b9c03e0,0.0076,0.703,0.628,5,0.0,0.471,-6.349,0,0.0284,0.425,103.983,4,nina
Bam Bam (feat. Ed Sheeran),Camila Cabello,93,0QBzMgT7NIeoCYy3sJCof1,2022-03-04,88,https://i.scdn.co/image/ab67616d0000b273364ef5f9057092741f667fea,https://p.scdn.co/mp3-preview/c7d17a94330a3789118aa4d7a8823fcc1f049125?cid=8e910b9aa35e4098ac6dab1c9b9c03e0,0.182,0.756,0.697,8,0.0,0.333,-6.377,1,0.0401,0.956,94.996,4,nina
Banana Clip,Miguel,4,6xagjcywpcyNFghafZPQJv,2017-12-01,62,https://i.scdn.co/image/ab67616d0000b2735e9dff10c31ac14c6c6c920d,https://p.scdn.co/mp3-preview/856e9d2c2d66e4ab21dea0f772d31609ff396b42?cid=8e910b9aa35e4098ac6dab1c9b9c03e0,0.0973,0.638,0.708,1,0.0,0.177,-5.342,0,0.0754,0.606,84.978,4,nina
Bang!,AJR,11,5FQPpxOXsvkMN6v18gtpwY,2021-03-26,74,https://i.scdn.co/image/ab67616d0000b273fc9511f26808c1eee73b414d,https://p.scdn.co/mp3-preview/22fb29d8a7226a4b674afe3af000c4c1fb916a79?cid=8e910b9aa35e4098ac6dab1c9b9c03e0,0.0183,0.74,0.517,1,0.0,0.0558,-6.233,0,0.0506,0.698,139.917,4,nina
Be Kind (with Halsey),Marshmello,15,3Z8FwOEN59mRMxDCtb8N0A,2020-05-01,77,https://i.scdn.co/image/ab67616d0000b273fdf2e993e10e67396b3bf759,https://p.scdn.co/mp3-preview/c5bc70a32ffdde76560f5f6be10099d7f80fe904?cid=8e910b9aa35e4098ac6dab1c9b9c03e0,0.00776,0.63,0.633,4,0.0,0.0541,-7.088,1,0.0457,0.452,93.995,4,nina
